Dimension,Rugo_status,Rugo_evidence,Linux_kernel,Linux_citation,Debian,Debian_citation,Ubuntu,Ubuntu_citation,Fedora,Fedora_citation,Arch,Arch_citation,NixOS,NixOS_citation,Gentoo,Gentoo_citation,Windows,Windows_citation,FreeBSD,FreeBSD_citation,OpenBSD,OpenBSD_citation,NetBSD,NetBSD_citation,illumos,illumos_citation,Redox,Redox_citation,ReactOS,ReactOS_citation
"Kernel architecture and modularity","Rust no_std kernel plus Go user-space boundary; legacy lane retained; status matrix now reports Rugo complete through M47.","README.md:80-100; MILESTONES.md:120-159; docs/STATUS.md:100-126","CFS scheduler and unified driver model are documented.","https://docs.kernel.org/scheduler/sched-design-CFS.html; https://docs.kernel.org/driver-api/driver-model/overview.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel-mode manager decomposition plus Executive and HAL are documented.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/; https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/windows-kernel-mode-executive-support-library; https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/windows-kernel-mode-hal-library","Architecture handbook has kernel-architecture chapters.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Kernel documentation and guide portals exist for internals.","https://www.netbsd.org/Documentation/kernel/; https://www.netbsd.org/docs/guide/en/","AArch64 port design doc provides architecture assumptions.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Book structure lists architecture topics; primary book endpoint blocked in this run.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md; https://doc.redox-os.org/book/","Architecture page describes NT-style architecture goals.","https://reactos.org/architecture/"
"Boot process and loader assumptions","Limine config, asm _start to kmain, and mkimage Limine install path are explicit.","boot/limine.conf:4-7; arch/x86_64/entry.asm:20-25; tools/mkimage.sh:58-63,117-123","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Bootstrapping chapters include BIOS, boot0, boot1, boot2, loader.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","SystemReady/firmware assumptions documented for AArch64 port.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Unknown (I cannot confirm this)","Unknown","Architecture page documents NT bootloader relationship.","https://reactos.org/architecture/"
"Process, thread, and scheduling model","Cooperative user-thread model remains documented; later service/init and readiness-compat milestones add stronger process lifecycle contracts.","docs/abi/syscall_v0.md:84-103; docs/STATUS.md:104,120","CFS uses vruntime and rbtree runqueue ordering.","https://docs.kernel.org/scheduler/sched-design-CFS.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel docs list process/thread manager.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Book structure includes scheduling chapter only.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page lists scheduler among NT-kernel components.","https://reactos.org/architecture/"
"Memory management model (virtual memory, paging concepts as documented)","Paging and bounded vm_map/vm_unmap behavior are documented.","MILESTONES.md:128-153; docs/abi/syscall_v0.md:94-103","Virtual memory concepts and hierarchical page tables are documented.","https://docs.kernel.org/admin-guide/mm/concepts.html; https://docs.kernel.org/mm/page_tables.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel docs identify a memory manager in kernel mode.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","VM chaptering exists in architecture handbook.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Kernel docs reference UVM material.","https://www.netbsd.org/Documentation/kernel/","AArch64 VMSAv8-64 MMU assumptions are documented.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Book structure includes memory-management topic only.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Unknown (I cannot confirm this)","Unknown"
"Driver model and hardware enablement approach","Matrix v6, bare-metal I/O baseline v1, and claim-promotion/audit policy define explicit Tier 1 virtual-platform and Tier 2 bare-metal support claims.","README.md:85-100,220-225; docs/STATUS.md:124-126,1008-1053; docs/hw/support_claim_policy_v1.md:23-45,68-91; docs/hw/bare_metal_promotion_policy_v2.md:21-44,46-78; docs/hw/support_tier_audit_v1.md:22-43,55-81","Unified driver model with bus/device abstractions and sysfs is documented.","https://docs.kernel.org/driver-api/driver-model/overview.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel/HAL/WDM driver guidance documented.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/; https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/windows-kernel-mode-hal-library","Driver and Newbus chapters are listed in handbook.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ links hardware support section.","https://www.openbsd.org/faq/","Kernel docs include hardware debugging sections.","https://www.netbsd.org/Documentation/kernel/","AArch64 target platform classes and firmware profile assumptions documented.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Book structure includes drivers topic only.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page says most NT kernel driver interfaces implemented.","https://reactos.org/architecture/"
"System call surface and ABI stability approach","Syscall table, register ABI, freeze rules, and no-breaking window are explicit.","docs/abi/syscall_v0.md:16-20,32-45,59-79","Syscall process guidance is long-lived; ABI docs state interfaces like syscalls are expected not to change.","https://docs.kernel.org/process/adding-syscalls.html; https://docs.kernel.org/admin-guide/abi-stable.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","AArch64 ABI policy is discussed in IPD24 scope.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown"
"Filesystem model and storage stack","SimpleFS v0 format and constraints are documented; later storage-platform milestones add snapshot/resize/fs-feature policy coverage.","docs/storage/fs_v0.md:19-55,73-91; docs/STATUS.md:117","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Handbook includes filesystem I/O sections.","https://docs.freebsd.org/en/books/arch-handbook/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Book structure includes RedoxFS topic.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page includes storage stack in scope list.","https://reactos.org/architecture/"
"Networking stack and userland networking tools","UDP echo v0 profile is documented with explicit implemented and not-implemented scope.","docs/net/udp_echo_v0.md:9-42,62-64; tests/net/test_udp_echo.py:4-9","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Network-driver chapters are listed in handbook.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ links PF user's guide and networking topics.","https://www.openbsd.org/faq/","Guide includes network tools chapter entries.","https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown"
"Security model (isolation boundaries, permissions, mitigations as documented)","Rights model, syscall filtering, hardening v3, vulnerability-response, and evidence-integrity gates are documented and milestone-gated.","docs/abi/syscall_v0.md:200-214; docs/STATUS.md:107,119-121","Userspace API docs enumerate seccomp, landlock, no_new_privs interfaces.","https://docs.kernel.org/userspace-api/index.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Kernel docs include Security Reference Monitor manager.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","Handbook includes TrustedBSD MAC and jail chapters.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ foregrounds security updates documentation.","https://www.openbsd.org/faq/","Guide TOC includes Veriexec subsystem chapter.","https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Project docs mention security topic areas but primary redox book endpoint was blocked in this run.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md; https://doc.redox-os.org/book/","Unknown (I cannot confirm this)","Unknown"
"Userspace model (init, services, IPC model)","Go service boundary is explicit; service/init v2 and process/readiness compatibility milestones extend the user-space contract surface.","docs/abi/syscall_v0.md:105-183; docs/STATUS.md:104,120; tests/go/test_go_user_service.py:8-14; tests/go/test_std_go_binary.py:6-40","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","NixOS manual explicitly documents systemd integration and service options.","https://nixos.org/manual/nixos/stable/","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Guide includes rc.d system chapter.","https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Book structure includes communication and system-services topics.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Architecture page documents system processes (smss, winlogon, lsass, SCM).","https://reactos.org/architecture/"
"Packaging, updates, and distribution mechanics","Package/repo ecosystem v3, update trust, release lifecycle v2, ecosystem-scale distribution, and recovery/update workflows are documented and gated.","README.md:95-140; docs/STATUS.md:105,109-113,118,123","Unknown (I cannot confirm this)","Unknown","APT/dpkg package-management workflow is documented.","https://www.debian.org/doc/manuals/debian-reference/ch02.en.html","APT package-management workflow is documented.","https://ubuntu.com/server/docs/how-to/software/package-management/","DNF package manager role and command model are documented.","https://packages.fedoraproject.org/pkgs/dnf/dnf/index.html; https://dnf.readthedocs.io/en/latest/command_ref.html","pacman sync/install/upgrade operations are documented.","https://man.archlinux.org/man/pacman.8.en","Declarative package and channel/rebuild model is documented.","https://nixos.org/manual/nixos/stable/","Portage/emerge package workflow is documented.","https://wiki.gentoo.org/wiki/Portage","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","FAQ includes package install/update sections.","https://www.openbsd.org/faq/","Guide has additional software chapter but package-manager specifics not confirmed in this extraction.","https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Book structure includes package management topic.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","Unknown (I cannot confirm this)","Unknown"
"Tooling and developer workflow (build, test, debug)","make-driven build/image/test lanes now include cross-domain gates through M47, including hardware claim-promotion and support-tier audit sub-gates.","README.md:216-227; Makefile:55-60,773-803; .github/workflows/ci.yml:770,798,829,843","Syscall contribution process explicitly calls for selftests and documentation work.","https://docs.kernel.org/process/adding-syscalls.html","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","nixos-rebuild workflow is documented.","https://nixos.org/manual/nixos/stable/","Unknown (I cannot confirm this)","Unknown","Driver-development references and sample workflows are documented.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","Architecture handbook and doc project workflow are documented.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ includes man pages and operating guidance links.","https://www.openbsd.org/faq/","Kernel documentation and guide provide build/debug guidance.","https://www.netbsd.org/Documentation/kernel/; https://www.netbsd.org/docs/guide/en/","Unknown (I cannot confirm this)","Unknown","Book structure includes debugging and tracing topics.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md","FAQ includes build-from-source guidance and architecture page lists build environment references.","https://reactos.org/faq/; https://reactos.org/architecture/"
"Governance and release engineering (open source governance where applicable)","Release policy, support lifecycle, supply-chain revalidation, maturity qualification, evidence integrity, and CI gate integration are documented through M47.","README.md:95-140; docs/STATUS.md:110-113,119,126,1024-1053","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Unknown (I cannot confirm this)","Unknown","Documentation project ownership/metadata is explicit.","https://docs.freebsd.org/en/books/arch-handbook/","FAQ provides release/current framing.","https://www.openbsd.org/faq/","Guide publication metadata is explicit.","https://www.netbsd.org/docs/guide/en/","IPD24 status is predraft in source text.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Unknown (I cannot confirm this)","Unknown","FAQ states alpha status and ongoing development posture.","https://reactos.org/faq/"
"Maturity signals (codebase age, documentation depth, compatibility goals, test infrastructure)","Status docs now report M0-M47 and G1/G2 done, with the latest completed hardware expansion phase explicitly recorded as M45-M47.","README.md:80-100; MILESTONES.md:100-115; docs/STATUS.md:124-126,1024-1053","Subsystem docs and ABI expectations indicate mature upstream documentation depth.","https://docs.kernel.org/scheduler/sched-design-CFS.html; https://docs.kernel.org/admin-guide/abi-stable.html","Package docs indicate mature operational tooling; relative maturity ranking not confirmed here.","https://www.debian.org/doc/manuals/debian-reference/ch02.en.html","Package docs indicate mature operational tooling; relative maturity ranking not confirmed here.","https://ubuntu.com/server/docs/how-to/software/package-management/","Package docs indicate mature operational tooling; requested Fedora quick-doc primary page was blocked in this run.","https://packages.fedoraproject.org/pkgs/dnf/dnf/index.html; https://docs.fedoraproject.org/en-US/quick-docs/dnf/","Package docs indicate mature operational tooling; relative maturity ranking not confirmed here.","https://man.archlinux.org/man/pacman.8.en","Manual depth indicates mature distro documentation; relative maturity ranking not confirmed here.","https://nixos.org/manual/nixos/stable/","Portage documentation depth indicates mature package workflow docs; relative maturity ranking not confirmed here.","https://wiki.gentoo.org/wiki/Portage","Public docs enumerate broad kernel manager/library surface; proprietary internals limit full public assessment.","https://learn.microsoft.com/en-us/windows-hardware/drivers/kernel/","Long-form architecture handbook indicates mature documentation depth.","https://docs.freebsd.org/en/books/arch-handbook/","Long-running FAQ/release documentation footprint indicates mature operational docs.","https://www.openbsd.org/faq/","Kernel docs plus large guide indicate mature documentation footprint.","https://www.netbsd.org/Documentation/kernel/; https://www.netbsd.org/docs/guide/en/","This extracted illumos source is a port-specific predraft document, so maturity claims beyond that are unknown.","https://github.com/illumos/ipd/blob/master/ipd/0024/README.md","Primary Redox book endpoint was blocked; only structure-level evidence was available in this run.","https://raw.githubusercontent.com/redox-os/book/master/src/SUMMARY.md; https://doc.redox-os.org/book/","FAQ states project alpha quality and ongoing compatibility work.","https://reactos.org/faq/"
